epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,9427.62,0.49346,1.95179,0.86258,0.42716,0.91667,0.71405,0.66892,0.34949,3.53651,0.7386,0.0003565,0.0003565,0.0003565
67,9562.61,0.44617,2.06045,0.80566,0.48643,0.91667,0.72417,0.68982,0.36467,3.57741,0.73729,0.0003466,0.0003466,0.0003466
68,9704.97,0.42831,2.10108,0.81226,0.4808,0.91667,0.72417,0.68067,0.36944,3.57429,0.73718,0.0003367,0.0003367,0.0003367
69,9848.34,0.41339,1.66365,0.83308,0.4808,0.91667,0.72417,0.68067,0.36944,3.57429,0.73718,0.0003268,0.0003268,0.0003268
70,9988.07,0.4492,1.82819,0.79478,0.57595,0.84522,0.745,0.70801,0.34711,3.59455,0.7326,0.0003169,0.0003169,0.0003169
71,10124.5,0.39632,1.59694,0.782,0.72296,0.78828,0.78667,0.7604,0.3321,3.53115,0.73021,0.000307,0.000307,0.000307
72,10263,0.41536,2.03578,0.83129,0.5793,0.83333,0.76537,0.72166,0.32997,3.35256,0.73648,0.0002971,0.0002971,0.0002971
73,10403.3,0.42593,1.52181,0.82622,0.5793,0.83333,0.76537,0.72166,0.32997,3.35256,0.73648,0.0002872,0.0002872,0.0002872
74,10542.9,0.42664,1.90361,0.81999,0.52367,0.91667,0.72454,0.68219,0.34303,3.28052,0.73948,0.0002773,0.0002773,0.0002773
75,10760.9,0.41994,1.70998,0.80555,0.52101,0.91667,0.72454,0.68807,0.35661,3.29254,0.73911,0.0002674,0.0002674,0.0002674
76,10937.7,0.42319,1.80883,0.8038,0.57601,0.83333,0.71528,0.67632,0.3701,3.3115,0.73576,0.0002575,0.0002575,0.0002575
77,11239.1,0.41026,1.81159,0.80764,0.57601,0.83333,0.71528,0.67632,0.3701,3.3115,0.73576,0.0002476,0.0002476,0.0002476
78,11397.2,0.43293,2.154,0.82097,0.58479,0.83333,0.77463,0.7241,0.36663,3.23611,0.73781,0.0002377,0.0002377,0.0002377
79,11551.3,0.40456,2.06208,0.79849,0.58057,0.83333,0.80241,0.75189,0.35305,3.16837,0.73927,0.0002278,0.0002278,0.0002278
80,11709.4,0.41465,1.8554,0.82195,0.43123,0.91667,0.77463,0.72822,0.36594,3.10982,0.7449,0.0002179,0.0002179,0.0002179
81,11851.5,0.40718,1.81903,0.80515,0.43123,0.91667,0.77463,0.72822,0.36594,3.10982,0.7449,0.000208,0.000208,0.000208
82,11994.8,0.43173,1.81074,0.83099,0.41883,0.91667,0.77463,0.71906,0.37433,3.15673,0.74739,0.0001981,0.0001981,0.0001981
83,12151.6,0.42998,1.74367,0.78799,0.41566,0.91667,0.77463,0.71905,0.37496,3.15392,0.74776,0.0001882,0.0001882,0.0001882
84,12308.6,0.37616,1.72816,0.76235,0.4217,0.91667,0.80241,0.75596,0.3669,3.10701,0.7466,0.0001783,0.0001783,0.0001783
85,12460.4,0.37841,1.6094,0.79897,0.4217,0.91667,0.80241,0.75596,0.3669,3.10701,0.7466,0.0001684,0.0001684,0.0001684
86,12621.5,0.41055,1.96659,0.8021,0.42166,0.91667,0.80241,0.75596,0.35311,3.08925,0.74374,0.0001585,0.0001585,0.0001585
87,12766.4,0.37646,1.91269,0.81384,0.44362,0.83333,0.80241,0.75596,0.34672,3.06674,0.7415,0.0001486,0.0001486,0.0001486
88,12903.9,0.3668,1.46166,0.80335,0.45429,0.83333,0.76722,0.71089,0.36277,3.08853,0.74132,0.0001387,0.0001387,0.0001387
89,13044.5,0.39295,1.91031,0.7871,0.45429,0.83333,0.76722,0.71089,0.36277,3.08853,0.74132,0.0001288,0.0001288,0.0001288
90,13184.3,0.36879,1.50482,0.808,0.44821,0.83333,0.75333,0.69394,0.37536,3.12725,0.74052,0.0001189,0.0001189,0.0001189
91,13322.8,0.42403,3.14027,0.76466,0.43127,0.83333,0.75333,0.69394,0.38625,3.15446,0.74117,0.000109,0.000109,0.000109
92,13463.5,0.43202,2.75637,0.82084,0.40737,0.83333,0.75333,0.69394,0.38875,3.21777,0.74108,9.91e-05,9.91e-05,9.91e-05
93,13595.7,0.38895,2.89984,0.7884,0.40737,0.83333,0.75333,0.69394,0.38875,3.21777,0.74108,8.92e-05,8.92e-05,8.92e-05
94,13732.1,0.37622,2.6546,0.78739,0.38672,0.91667,0.7125,0.65311,0.38401,3.27752,0.7407,7.93e-05,7.93e-05,7.93e-05
95,13869.3,0.45632,2.63483,0.81279,0.38695,0.91667,0.7125,0.65311,0.37582,3.28691,0.73938,6.94e-05,6.94e-05,6.94e-05
96,14002.4,0.39311,2.90056,0.7792,0.38494,0.91667,0.7125,0.65311,0.36703,3.24599,0.73795,5.95e-05,5.95e-05,5.95e-05
97,14134.4,0.37215,2.95205,0.80841,0.38494,0.91667,0.7125,0.65311,0.36703,3.24599,0.73795,4.96e-05,4.96e-05,4.96e-05
98,14271,0.37645,3.45057,0.77107,0.38244,0.91667,0.7125,0.65311,0.36014,3.20372,0.73715,3.97e-05,3.97e-05,3.97e-05
99,14419.2,0.39386,2.55379,0.8144,0.40814,0.83333,0.70417,0.6473,0.35324,3.15032,0.73626,2.98e-05,2.98e-05,2.98e-05
100,14556.8,0.37406,2.43454,0.78963,0.41872,0.83333,0.70417,0.64371,0.35001,3.11866,0.73576,1.99e-05,1.99e-05,1.99e-05
